created_at,package,version,publisher,license,unpacked_size,description
2026-09-26T03:17:28.875Z,@plenustech/design-system,0.1.1,mikeiassm,,1497537,Design System centralizado para os produtos web da Plenustech.
2026-09-26T03:19:31.696Z,@pragnalabs.ai/wirebay,0.2.0,vijayjaybhay,MIT,423461,"Define MCP servers once, keep secrets in one place, and sync them to every AI coding tool (Claude Code, Claude Desktop, Codex, Cursor, VS Code, Gemini CLI)."
2026-09-26T03:21:49.035Z,@diegosouzacdv/jev-browser-mcp,0.1.2,diegosouzacdv,MIT,131871,Portable MCP server for bounded Playwright screen flows selected by Jev
2026-09-26T03:22:50.966Z,koishi-plugin-bf1-chinese-id,1.0.0,xiaoafeng,AGPL-3.0,11557,战地1（BF1）中文ID计算器：根据中文哈希值和前缀，计算出可在游戏中显示中文的 EA ID
2026-09-26T03:26:03.204Z,supahpost-cli,0.1.0,ndp12,MIT,142816,"Your SupahPost workspace from the terminal, and a skill file your AI agent can install in one command."
2026-09-26T03:27:15.191Z,@kodulabs/chat-core,0.1.0,peckas13,MIT,2607,"Framework-agnostic client for Kodulabs Agents' public chat API (sessions, SSE streaming, live events)."
2026-09-26T03:27:27.807Z,@kodulabs/react-chat,0.1.0,peckas13,MIT,7755,"React compound components for embedding a Kodulabs Agents chat (<ChatProvider>, <ChatWindow>, …)."
2026-09-26T03:29:06.434Z,@molecule/api-ocr,1.1.0,vialoh,Apache-2.0,25656,"Abstract OCR (text extraction from images) interface — bond a vision model, Tesseract, or molecule.dev's hosted service"
2026-09-26T03:29:10.019Z,@molecule/api-ocr-llm,1.1.0,vialoh,Apache-2.0,27085,Language-model OCR provider for molecule.dev — extracts text from images through any vision-capable @molecule/api-ai model
2026-09-26T03:29:13.856Z,@molecule/api-ocr-molecule,1.1.0,vialoh,Apache-2.0,31189,"molecule.dev hosted OCR provider — text extraction from images billed to your molecule project, no vendor account"
2026-09-26T03:29:18.218Z,@molecule/api-ocr-tesseract,1.1.0,vialoh,Apache-2.0,22664,"Self-hosted Tesseract OCR provider for molecule.dev — text extraction from images in your own process, no vendor account, no per-call cost"
2026-09-26T03:29:23.01Z,@vervedoc/i18n,1.0.0,wanghe199512,,233090,Framework-independent localization for VerveDoc editors
2026-09-26T03:31:09.541Z,opencode-memento,1.0.0,nemezzizz,MIT,19016,"Amnesia insurance for OpenCode: injects your project's Markdown memory index into session compaction, so auto-summarization never forgets that memory exists. Zero dependencies."
