created_at,package,version,publisher,license,unpacked_size,description
2026-09-23T12:14:01Z,@ledgo/sdk,1.0.1,ledgodev,MIT,422985,SDK for LedGo platform integrations
2026-09-23T12:14:18Z,@webdeji/tracewatch,1.0.2,webdeji,ISC,1438213,"Don't show me the logs, show me what broke."
2026-09-23T12:14:55Z,@trackline/darwin-arm64,0.1.0,yerinsabraham,Apache-2.0,8363904,trackline binaries for darwin arm64. Installed automatically by the trackline package.
2026-09-23T12:15:00Z,@trackline/darwin-x64,0.1.0,yerinsabraham,Apache-2.0,8794454,trackline binaries for darwin x64. Installed automatically by the trackline package.
2026-09-23T12:15:04Z,@trackline/linux-arm64,0.1.0,yerinsabraham,Apache-2.0,8258345,trackline binaries for linux arm64. Installed automatically by the trackline package.
2026-09-23T12:15:10Z,@trackline/linux-x64,0.1.0,yerinsabraham,Apache-2.0,8647567,trackline binaries for linux x64. Installed automatically by the trackline package.
2026-09-23T12:15:15Z,@trackline/win32-x64,0.1.0,yerinsabraham,Apache-2.0,8944563,trackline binaries for win32 x64. Installed automatically by the trackline package.
2026-09-23T12:15:21Z,trackline,0.1.0,yerinsabraham,Apache-2.0,222670,Watches whether an AI coding agent is still doing what you asked. Runs beside Claude Code or Codex and says when the work stops matching the request.
2026-09-23T12:16:11Z,@growth-labs/tokens,0.1.1,grizzle,,90927,"Shared design tokens for Growth Labs React/SPA apps: a pinned, tested subset of [DTCG 2025.10](https://tr.designtokens.org/format/) compiled to CSS custom properties scoped `[data-theme][data-mode]`,…"
2026-09-23T12:18:18Z,@sachinthapa572/spindb,1.0.0,sachinthapa572,,285011,CLI tool for provisioning and managing database instances via Podman/Docker
2026-09-23T12:18:51Z,vireuikit,0.1.0,kotlaevdanil,Apache-2.0,555551,"A UI kit built on the VireGlass material: atom states, capsule-to-target morphs, and a live vapor-and-condensate backdrop."
2026-09-23T12:19:31Z,@luwiostack/bootstrap,0.1.0,gertvintia,MIT,105164,"Bootstrap (startup) config for apps — fetch the one config document before mount, with ETag caching + stale-while-revalidate, then build your app from it. Runtime/reactive state belongs in your data…"
2026-09-23T12:19:35Z,@alhassanaraouf/paseo-commandcode-provider,0.1.1,alhassanaraouf,MIT,326491,Paseo provider for the Command Code coding agent (headless via `commandcode -p`)
2026-09-23T12:19:44Z,nectr-mcp,0.1.0,genc.kastrati,MIT,22853,"MCP server for nectr: search, read and add to your nectr markdown library from any MCP client."
2026-09-23T12:19:52Z,@alhassanaraouf/paseo-acp-manager,0.1.0,alhassanaraouf,MIT,917974,"Paseo sidebar plugin for managing ACP custom providers: add, edit, enable/disable, test, and quick-add from the ACP agent registry."
2026-09-23T12:20:27Z,@pnpancholi/pi-review-panel,0.1.0,pnpancholi,GPL-3.0-or-later,84543,"A git-based, session-aware review panel for the pi coding agent. Tracks every file the agent changes during a session and presents an interactive, keyboard-navigable diff view so you can review chang…"
2026-09-23T12:20:38Z,gtnh-java-style-skill,0.1.1,yuhan8954,SEE LICENSE IN LICENSE,14235,Install an Agent Skill that teaches coding agents the GT New Horizons Java code style.
2026-09-23T12:20:54Z,zambo-vercel-ai,0.1.0,zambodotdev,MIT,10843,Zambo 100+ live tools as Vercel AI SDK tools. Every call executes through live Zambo and mints a verifiable AER-1 receipt.
2026-09-23T12:20:55Z,@dstny/joi-to-typescript,4.15.0-dstny.2,gbo.dstny,MIT,208346,Convert Joi Schemas to TypeScript interfaces
2026-09-23T12:20:58Z,@ravian0772/jenkins-mcp,1.0.1,ravian0772,MIT,16536,"Connect AI assistants to any Jenkins CI/CD server. List jobs, trigger parameterised builds, check build status, fetch console logs, and inspect job metadata — all from natural language without leavin…"
2026-09-23T12:21:22Z,velox-automation,2.2.0,destinedt,MIT,413593,"Browser automation at terminal velocity. Zero dependencies: any installed Chrome/Chromium/Edge/Brave over CDP, or no browser at all. Playwright-compatible API with proxies (http/socks5 + rotating poo…"
2026-09-23T12:22:34Z,@alhassanaraouf/paseo-remote-editor,0.1.1,alhassanaraouf,MIT,21920,"Composer pill to open a workspace in VS Code or Zed over SSH, desktop only."
2026-09-23T12:23:09Z,@oatscenter/result,0.100.0-rc.1,abalmos,Apache-2.0,77712,Class-based Result and AsyncResult types for Trellis TypeScript applications.
2026-09-23T12:23:12Z,@oatscenter/trellis,0.100.0-rc.1,abalmos,Apache-2.0,10022813,"Client-side Trellis runtime, models, and participant helpers for TypeScript applications."
2026-09-23T12:23:15Z,@oatscenter/trellis-svelte,0.100.0-rc.1,abalmos,Apache-2.0,101447,Svelte components and state helpers for Trellis browser applications.
2026-09-23T12:23:15Z,tinyps,0.2.0,43081j,MIT,13216,A library of utilities for dealing with system processes.
2026-09-23T12:24:22Z,@maricgeer/dsh-websearch,0.1.2,maricgeer,MIT,481251,"Unified multi-provider WebSearch management plugin for the DeepSeek Harness (dsh) — priority chains with full HA degradation for search and fetch, plus a settings-page GUI"
2026-09-23T12:26:12Z,@brighterly/lib-fe-codestyle,0.1.2,dmytro-domin,UNLICENSED,147941,"Shared invariant-validator engine, rule pack and ESLint config for Brighterly Nuxt frontend apps"
2026-09-23T12:26:35Z,corriere,1.0.0,corvaglia,MIT,771358,"Fast, flexible, zero-dependency modern HTTP client for JS/TS"
2026-09-23T12:26:45Z,@sriinnu/tokmeter-mcp,1.12.0,sriinnu,AGPL-3.0-only,2318783,"Tokmeter MCP server, daemon and statusline — tokens and cost for AI coding agents from local session files"
2026-09-23T12:27:47Z,@readystack/container-hardening-800-190,1.0.1,readystack,SEE LICENSE IN LICENSE.txt,40462,"Reads a Dockerfile or compose file and names the hardening controls it fails, with the NIST SP 800-171 requirement each one puts at risk."
2026-09-23T12:28:21Z,@rahulkumar2525/react-util,1.0.7,rahulkumar2525,ISC,10914600,Utility functions including logger for your app
2026-09-23T12:28:38Z,@log0u7/opencode-mesh,0.1.1,logou7,Apache-2.0,123541,"Multi-session coordination for OpenCode: session coordination on one machine and a peer pool across LAN or Tailscale, with pairing, mailbox, and worktree locks."
2026-09-23T12:28:53Z,lites-sdk,0.1.0,rahulrai19,MIT,4784,Official Node.js SDK for Lites - The lightning-fast AI proxy
2026-09-23T12:28:57Z,@log0u7/opencode-memory,0.1.1,logou7,Apache-2.0,48630,"Working memory for OpenCode: shared SQLite store with hybrid search, shared across all sessions on a machine."
2026-09-23T12:29:30Z,mtlx-viewer,0.5.0,ben3d,MIT,9618471,"Shared three.js MaterialX preview scenes, IBL environment assets, and React/Tailwind viewer UI for the MaterialX website and VS Code viewers."
2026-09-23T12:30:31Z,codex-cli-sync-mcp,0.2.0,yuriisamohvalov,MIT,14588,"MCP server that lets Claude Code (or any MCP client) delegate bounded coding tasks to the local Codex CLI synchronously, no full-auto/ask-for-approval flag guesswork"
2026-09-23T12:31:09Z,express-realtime,0.1.0,pilmee,MIT,386610,"Friendly Socket.io layer for Express: notifications, public/private channels, rooms, 1:1 chat and welcome messages on top of your own Socket.io server"
2026-09-23T12:31:49Z,@jooooesg/agit-selfhost,0.2.0,jooooesg,MIT,6822382,"Private AgentGit Hub for Linux x64 and ARM64, with configurable storage quotas"
2026-09-23T12:32:21Z,rdbms-prgms,1.0.0,parzival0802,MIT,22441,"A collection of RDBMS programs covering SQL DDL, DML, PL/SQL cursors, triggers, functions, procedures, and database design examples."
